# {"t_start": 1587022198.6629272, "env_id": "DartHopperPT-v1"} 
r,l,t
-8.928671,9,1.385928
-2.150205,3,1.393057
-6.717524,5,1.39968
-0.962138,5,1.405641
0.19639,7,1.413088
-5.273564,8,1.420659
-3.241914,3,1.423709
-3.54192,6,1.429502
-3.024491,3,1.43259
-2.549355,5,1.437119
-3.799004,4,1.441016
-4.732959,5,1.445825
-1.317258,4,1.449383
-3.594448,7,1.456126
-1.943053,3,1.458789
-5.554848,6,1.464343
-2.563998,4,1.468758
0.867003,8,1.477699
-3.403281,6,1.48372
-2.635284,2,1.48578
-3.226764,4,1.48954
-7.467788,8,1.496583
-2.288346,4,1.499999
-3.833095,3,1.503065
-2.838741,5,1.507518
-2.275916,3,1.51045
-0.564405,6,1.515392
-0.79534,6,1.520597
-0.353786,9,1.528449
-3.044348,4,1.53199
-7.45493,19,1.548666
0.545237,12,1.558499
0.254674,10,1.567322
-10.614943,8,1.575378
-2.484013,4,1.579066
-3.259792,4,1.582329
0.013298,5,1.587233
-6.923575,7,1.594234
-1.800744,4,1.598075
-2.831069,7,1.604603
-1.381018,4,1.608366
-3.797713,4,1.611834
-1.706774,4,1.615728
-0.475825,6,1.62134
1.261052,7,1.627493
-1.633912,12,1.637889
-4.199538,4,1.641618
-1.474518,5,1.646409
-5.385976,7,1.652473
-2.865678,2,1.654457
-0.679773,5,1.659012
-3.988819,8,1.665847
-5.457463,7,1.671855
-3.132244,3,1.674547
-4.36181,3,1.677477
-5.225404,6,1.682665
-1.653411,5,1.687289
-3.237364,2,1.68926
-1.537384,3,1.691896
-1.480652,6,1.696689
11.253973,10,1.705482
1.730974,8,1.712733
-5.012793,6,1.719063
-2.210936,4,1.72299
-5.786394,6,1.728552
-1.360598,4,1.732137
-1.67588,7,1.73858
-2.867467,4,1.742293
4.157431,14,1.754396
-1.593934,6,1.759753
-5.994959,9,1.767613
-3.033166,3,1.770356
-3.388176,10,1.779082
0.033211,4,1.782726
-3.056859,7,1.789462
-0.080711,7,1.795486
-1.427287,6,1.801097
-3.61089,3,1.803968
-2.1567,8,1.811531
-5.045678,5,1.8158
-1.449909,4,1.819819
-2.163743,5,1.824346
-4.405354,4,1.828328
0.650576,5,1.833059
-2.183858,6,1.839013
-3.724619,9,1.847101
-2.871402,12,1.858232
-2.815774,3,1.861144
-2.571608,3,1.863983
-5.273388,4,1.867458
1.535763,7,1.87366
-1.927224,7,1.880042
-3.296705,4,1.883479
-4.216723,5,1.88834
-2.829644,2,1.890336
-0.536826,6,1.895652
-3.207531,4,1.89937
-3.291685,3,1.903111
-0.755722,4,1.906662
-2.981825,3,1.909385
-3.497506,8,1.917885
-5.836956,8,1.927785
-10.90986,7,1.936863
-0.4914,6,1.942536
-1.151323,5,1.947455
1.703238,7,1.953595
-2.64739,3,1.956591
-2.960665,3,1.959379
-0.557646,4,1.962969
-3.060118,4,1.966742
-1.785355,5,1.971365
-11.737285,9,1.980285
-2.79128,4,1.984069
-1.641439,5,1.988634
-0.798078,8,1.99553
-0.011061,6,2.001001
-4.747794,6,2.006565
-1.82811,4,2.01029
-0.090178,5,2.014783
1.055534,10,2.024174
-1.609708,3,2.027026
-5.302325,7,2.033994
-0.193967,6,2.039776
-4.71087,5,2.044465
-1.141729,6,2.050391
-4.389278,5,2.055349
-2.954917,4,2.059088
-2.888797,9,2.067141
-2.196994,3,2.070035
-2.583245,6,2.075723
5.735745,12,2.086638
-1.584257,4,2.090347
-0.207979,5,2.09476
1.885134,8,2.102249
-0.663288,11,2.112876
-3.67323,4,2.116578
2.451982,8,2.123755
-3.04091,5,2.128671
-3.166808,7,2.135182
-0.917785,16,2.14918
-0.744098,4,2.152965
-6.666863,6,2.158625
3.931187,10,2.167906
-0.894567,4,2.179937
-2.181581,8,2.186913
-3.837166,3,2.189793
1.417082,7,2.196212
-1.109798,8,2.203884
-1.205442,13,2.215101
-1.775056,3,2.217918
-3.075166,4,2.221606
-2.603186,3,2.224642
1.182602,14,2.237205
-2.713972,6,2.242458
-4.062986,6,2.247682
-2.163014,3,2.250296
-1.324134,6,2.25599
0.076759,7,2.262299
-4.94106,6,2.267862
-3.228062,4,2.271328
-2.78486,4,2.274868
-3.543146,7,2.281492
1.26783,8,2.288488
0.814552,8,2.296221
-6.176615,10,2.307851
0.203,6,2.313407
-6.09421,5,2.318485
-3.157764,5,2.323394
-0.314068,5,2.327747
-9.331156,7,2.334557
-3.153844,5,2.338753
-2.358788,4,2.342461
-3.251517,3,2.345296
-4.023314,7,2.351718
-3.277923,6,2.357506
-4.980147,6,2.362797
-3.284867,2,2.364776
-0.855927,6,2.370014
-2.827132,2,2.371909
-3.058975,3,2.374565
-3.553091,5,2.379259
-2.808451,4,2.382565
-2.474005,3,2.385455
-2.22241,6,2.39066
-4.508192,3,2.39351
-1.016228,4,2.397395
-2.21617,6,2.403122
-1.54608,4,2.407214
-3.559265,3,2.410103
-3.620833,5,2.414596
-4.072422,3,2.417645
2.813684,8,2.424512
-2.31018,3,2.427148
-1.899314,5,2.432032
-4.544641,5,2.436549
-2.919043,7,2.442617
-0.515866,6,2.448075
-4.546502,10,2.457176
-0.21305,7,2.463748
0.609304,6,2.469222
0.744618,5,2.473849
-3.21212,5,2.478122
-2.702886,4,2.481772
-4.287493,7,2.487612
-7.080273,8,2.495017
-4.298432,8,2.502365
-4.415821,3,2.505089
