# {"t_start": 1587789559.7062473, "env_id": "DartHopperPT-v1"} 
r,l,t
-2.483786,2,1.759264
-3.988009,4,1.763549
-0.967734,4,1.763576
-0.996302,5,1.765726
-2.761423,3,1.76982
-4.52452,7,1.769808
-0.251896,7,1.769921
-2.679662,5,1.770038
1.000097,7,1.770067
0.760584,7,1.77015
-4.224369,6,1.776248
-3.246232,3,1.776451
-4.271462,4,1.778526
-4.855676,6,1.778539
-6.441514,6,1.782529
-1.022982,6,1.782648
-4.425359,5,1.786873
-2.642157,5,1.788866
-3.021087,3,1.789085
-3.656179,3,1.789091
0.474308,6,1.791142
4.875205,10,1.791187
4.714273,11,1.793318
-0.972823,4,1.795406
-2.854416,2,1.795507
-2.868912,4,1.797605
-4.271037,4,1.797695
-6.302149,5,1.803414
-2.031588,4,1.8056
-0.495942,15,1.807488
-1.623365,5,1.807598
-0.242956,9,1.807705
-3.840059,8,1.807935
-0.676161,7,1.809897
-3.559165,8,1.812027
0.236074,5,1.817863
-6.118092,7,1.818003
-1.314327,6,1.818328
-4.707748,6,1.820432
-6.409178,6,1.820436
1.052485,8,1.824489
-4.751964,3,1.824521
-3.714319,3,1.824521
-3.282387,3,1.82457
-4.221763,7,1.824653
-2.851527,6,1.824713
-1.250848,4,1.828876
-3.831085,3,1.830945
-2.269261,3,1.830984
0.110474,5,1.830988
-2.362061,3,1.831127
-4.856387,3,1.831194
-5.549845,5,1.835291
-7.434547,7,1.839189
-2.859468,5,1.839369
-5.355857,5,1.841451
-3.579886,6,1.843382
-1.712693,4,1.843667
-1.39027,6,1.843746
-4.937842,8,1.847685
-2.280073,3,1.847964
-2.018548,6,1.851823
1.947349,10,1.85199
-7.674386,5,1.854168
-1.952523,8,1.856362
-2.714076,6,1.856405
-2.527058,7,1.858222
-0.365002,6,1.860144
-1.92064,4,1.860317
-4.222979,7,1.86254
-0.411165,6,1.864567
-3.445559,5,1.864615
-2.240032,3,1.864754
-4.263576,5,1.866826
-1.767005,5,1.867009
-1.918159,5,1.870946
-0.682974,5,1.873079
-4.066274,5,1.875061
-3.852009,8,1.876987
-4.355515,7,1.878982
-3.178219,3,1.879155
1.343444,6,1.87924
-4.568585,7,1.881591
-5.796888,6,1.883739
-4.378543,9,1.883747
-2.256334,4,1.885724
-2.722076,4,1.888037
-2.045056,4,1.890256
-2.547393,3,1.892291
-6.332948,5,1.894248
-7.111774,9,1.89427
-2.150503,5,1.894427
-9.001538,8,1.896419
-2.024733,3,1.897417
-6.733409,9,1.899865
-3.67807,3,1.90005
-3.254334,5,1.900219
-0.50653,4,1.904349
-4.446182,5,1.906389
-4.497558,3,1.906546
-4.679997,5,1.908597
-3.138385,4,1.908657
-2.604571,7,1.910777
-4.184374,7,1.912919
-1.62166,3,1.91308
-1.244487,4,1.917049
-0.741791,9,1.919219
-2.436076,3,1.919344
-2.686486,9,1.923238
-10.076725,8,1.923366
-3.70304,6,1.92353
-1.92228,3,1.92582
1.785557,7,1.927993
-6.494464,10,1.929964
-6.760404,6,1.930069
-2.061003,3,1.932225
-2.712994,5,1.93417
-1.990961,4,1.93637
-1.231089,4,1.93847
-6.775362,5,1.940592
-0.444137,11,1.942825
-1.894452,3,1.944767
-3.15279,7,1.946892
-5.541096,5,1.946968
-3.658041,3,1.949304
-4.574112,5,1.951566
-4.145501,4,1.953497
7.72131,10,1.955505
2.255844,15,1.955688
-5.211077,4,1.95582
-2.538124,3,1.95784
-3.297553,4,1.961816
-2.938947,18,1.961838
-3.821197,3,1.961895
-3.387076,6,1.96214
-4.377763,4,1.96435
-2.280169,4,1.968204
-2.992817,9,1.968305
-3.346555,6,1.971766
-2.702269,2,1.972106
-3.046725,4,1.974228
-4.79992,4,1.974333
-1.97506,5,1.97632
-3.364789,3,1.976438
-3.728314,3,1.976456
-5.025964,7,1.980284
-4.252015,5,1.982344
-2.727494,4,1.982478
-1.845288,4,1.982512
-0.325356,4,1.984624
-2.107328,4,1.984711
-4.438835,7,1.987067
-2.350602,2,1.991154
-1.72759,3,1.991322
-5.709788,5,1.993357
-2.279544,8,1.993402
-2.582962,5,1.993625
-6.900993,7,1.995502
-2.585842,6,1.995682
-3.001963,2,1.999635
-5.121977,5,2.001863
-0.672196,9,2.003826
-3.447875,5,2.003842
-4.77779,7,2.006162
-4.136642,4,2.008234
-4.321389,8,2.010222
-6.430066,5,2.012538
-0.189536,5,2.016582
-0.239004,6,2.016659
-2.558931,12,2.018749
-2.591816,6,2.020676
0.677597,8,2.020689
-4.41497,13,2.022753
-2.617849,2,2.022951
-2.919217,2,2.024807
-5.220457,7,2.024895
-2.592711,4,2.025207
-2.38535,3,2.027272
-4.207852,4,2.031313
-2.801472,3,2.031339
-6.004559,8,2.033401
-3.257379,5,2.033509
-5.841521,5,2.035511
-7.672082,11,2.035736
-2.687374,6,2.039667
-5.98631,8,2.041586
-5.547437,3,2.041968
-5.528955,6,2.043962
-1.31679,6,2.044024
-6.22194,5,2.044027
-2.764523,3,2.047784
-5.518385,7,2.047822
-5.80611,7,2.049998
-5.413132,7,2.053801
-2.879072,6,2.05391
-1.857185,5,2.054269
-4.728604,6,2.056193
-2.70743,6,2.056325
-4.103779,4,2.058105
-3.871662,7,2.0621
-1.498137,7,2.062363
-3.965016,3,2.064213
-5.058663,6,2.066338
-4.500637,5,2.066342
-3.715757,6,2.06656
