# {"t_start": 1587937024.6172903, "env_id": "DartHopperPT-v1"} 
r,l,t
-2.483786,2,1.792581
-0.967734,4,1.797045
-3.988009,4,1.797195
-0.996302,5,1.799527
-2.761423,3,1.803686
-4.52452,7,1.803698
-0.251896,7,1.803809
-2.679662,5,1.803959
1.000097,7,1.804002
0.760584,7,1.80411
-4.224369,6,1.810426
-3.246232,3,1.810492
-4.855676,6,1.812785
-4.271462,4,1.81281
-6.441514,6,1.816888
-1.022982,6,1.817181
-4.425359,5,1.821521
-2.642157,5,1.823596
-3.656179,3,1.82387
-3.021087,3,1.823921
0.474308,6,1.826179
4.875205,10,1.826196
4.714273,11,1.828441
-0.972823,4,1.830573
-2.854416,2,1.830635
-2.868912,4,1.832761
-4.271037,4,1.832985
-6.302149,5,1.839846
-2.031588,4,1.843074
-0.242956,9,1.845375
-0.495942,15,1.845502
-1.623365,5,1.845531
-3.840059,8,1.845565
-0.676161,7,1.848464
-3.559165,8,1.851558
-6.118092,7,1.85845
0.236074,5,1.85862
-1.314327,6,1.858883
-6.409178,6,1.861053
-4.707748,6,1.86121
1.052485,8,1.865636
-4.751964,3,1.865677
-3.714319,3,1.865697
-2.851527,6,1.865717
-3.282387,3,1.865751
-4.221763,7,1.8661
-1.250848,4,1.870622
0.110474,5,1.872738
-3.831085,3,1.872766
-4.856387,3,1.872797
-2.269261,3,1.872851
-2.362061,3,1.873164
-5.549845,5,1.877329
-7.434547,7,1.881851
-2.859468,5,1.882249
-5.355857,5,1.884563
-1.712693,4,1.886542
-1.39027,6,1.886676
-3.579886,6,1.886786
-4.937842,8,1.890894
-2.280073,3,1.891231
-2.018548,6,1.895349
1.947349,10,1.895422
-7.674386,5,1.897649
-2.714076,6,1.899983
-1.952523,8,1.900432
-2.527058,7,1.902672
-0.365002,6,1.904777
-1.92064,4,1.904807
-4.222979,7,1.907276
-0.411165,6,1.909313
-3.445559,5,1.909408
-2.240032,3,1.909596
-1.767005,5,1.911803
-4.263576,5,1.911933
-1.918159,5,1.916159
-0.682974,5,1.918494
-4.066274,5,1.920708
-3.852009,8,1.922657
-4.355515,7,1.924652
-3.178219,3,1.924968
1.343444,6,1.925096
-4.568585,7,1.927478
-5.796888,6,1.929583
-4.378543,9,1.929627
-2.256334,4,1.931858
-2.722076,4,1.93413
-2.045056,4,1.93639
-2.547393,3,1.938913
-6.332948,5,1.941714
-2.150503,5,1.941853
-7.111774,9,1.942011
-2.024733,3,1.944604
-9.001538,8,1.94543
-3.67807,3,1.947956
